"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5197",-2.0822873189627,0.071069663035546,-29.2992428840028,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199291542104001,5197
"scaled_rainfall_deviation:factor(COD_MUNI)5206",-2.06169465529465,0.0782144415978781,-26.3595138337033,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006038763650104,5206
"scaled_rainfall_deviation:factor(COD_MUNI)5209",-2.1405861212545,0.0834707498313158,-25.6447453219285,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000701072967586044,5209
"scaled_rainfall_deviation:factor(COD_MUNI)5212",-2.1026668206924,0.0938567699741543,-22.4029318425449,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000457449607418412,5212
"scaled_rainfall_deviation:factor(COD_MUNI)5234",-2.03278352279922,0.0806493397120309,-25.2052097395657,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000496402873761113,5234
"scaled_rainfall_deviation:factor(COD_MUNI)5237",-2.06651724197278,0.0805616319901863,-25.6513825616705,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000591407153698096,5237
"scaled_rainfall_deviation:factor(COD_MUNI)5240",-2.09854646870412,0.0901866412359774,-23.2689280800821,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117690324884145,5240
"scaled_rainfall_deviation:factor(COD_MUNI)5250",-2.32867431717243,0.0765634641732543,-30.4149549960659,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000724751469179174,5250
"scaled_rainfall_deviation:factor(COD_MUNI)5264",-2.0729800871404,0.0993282220158308,-20.8700009430352,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118087765580207,5264
"scaled_rainfall_deviation:factor(COD_MUNI)5266",-2.01535653074925,0.0833629664172514,-24.1756815689825,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000537527565497205,5266
"scaled_rainfall_deviation:factor(COD_MUNI)5282",-2.12849795582517,0.0792088255736253,-26.8719797372417,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000730014165628523,5282
"scaled_rainfall_deviation:factor(COD_MUNI)5284",-2.09555032184796,0.0792514396774957,-26.4417950055615,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000689349477400988,5284
"scaled_rainfall_deviation:factor(COD_MUNI)5306",-2.08438518952163,0.0990285862204401,-21.0483181581704,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280444164375838,5306
"scaled_rainfall_deviation:factor(COD_MUNI)5308",-2.11694225276493,0.0918127713691494,-23.0571653724882,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015886501868049,5308
"scaled_rainfall_deviation:factor(COD_MUNI)5310",-2.10355554246621,0.0778153625653889,-27.0326510488026,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000965438678564488,5310
"scaled_rainfall_deviation:factor(COD_MUNI)5313",-2.09347501884509,0.0717684256409188,-29.1698612607088,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000869540978773979,5313
"scaled_rainfall_deviation:factor(COD_MUNI)5315",-2.07217428159689,0.0840133380042023,-24.6648250244889,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000350483580702275,5315
"scaled_rainfall_deviation:factor(COD_MUNI)5318",-2.14130489522952,0.0919361194171621,-23.2912255684112,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000700338261121243,5318
"scaled_rainfall_deviation:factor(COD_MUNI)5321",-2.0752201908914,0.0752511903308072,-27.5772407289326,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342448196524553,5321
"scaled_rainfall_deviation:factor(COD_MUNI)5347",-2.09295761085062,0.0858650937340264,-24.3749528456082,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000426815310259097,5347
"scaled_rainfall_deviation:factor(COD_MUNI)5353",-2.07766976123011,0.0795551083623261,-26.1161074882528,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000356479273784374,5353
"scaled_rainfall_deviation:factor(COD_MUNI)5360",-1.42190957816973,0.0861462466233186,-16.5057635579545,0.000000000000000000000000000000000000000000000000000000000000355511327607588,5360
"scaled_rainfall_deviation:factor(COD_MUNI)5361",-1.97282491147517,0.087633811844477,-22.5121430866926,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000393479110719633,5361
"scaled_rainfall_deviation:factor(COD_MUNI)5364",-2.10456380936282,0.0883125712803309,-23.8308519257388,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210960652493407,5364
"scaled_rainfall_deviation:factor(COD_MUNI)5368",-2.09000985046825,0.0815981937843857,-25.6134327677751,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000156327617610644,5368
"scaled_rainfall_deviation:factor(COD_MUNI)5376",-2.08522456524952,0.0798444141183681,-26.1160982677912,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000356565050442984,5376
"scaled_rainfall_deviation:factor(COD_MUNI)5380",-2.0578352257344,0.0827623226307959,-24.8643967486803,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025076268750955,5380
"scaled_rainfall_deviation:factor(COD_MUNI)5400",-2.06769155951223,0.0789004993052216,-26.206317801786,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000337287745158679,5400
"scaled_rainfall_deviation:factor(COD_MUNI)5411",-2.08650727969066,0.104530399039164,-19.9607702531483,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000138497326289571,5411
"scaled_rainfall_deviation:factor(COD_MUNI)5425",-2.06750362380412,0.0805473994745272,-25.6681610740017,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000384633033688387,5425
