"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5347",-2.09297144822248,0.0858652363955721,-24.3750734998315,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000425561917346211,5347
"scaled_rainfall_deviation:factor(COD_MUNI)5353",-2.07766393553381,0.0795552409552336,-26.1159907328158,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000357566469073772,5353
"scaled_rainfall_deviation:factor(COD_MUNI)5360",-1.42190964025812,0.086146390318508,-16.5057367464952,0.000000000000000000000000000000000000000000000000000000000000355669040116793,5360
"scaled_rainfall_deviation:factor(COD_MUNI)5361",-1.97306424049927,0.0876337925075214,-22.5148790671125,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369968014928697,5361
"scaled_rainfall_deviation:factor(COD_MUNI)5364",-2.10458736856398,0.0883127169975231,-23.8310793747066,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209820286532786,5364
"scaled_rainfall_deviation:factor(COD_MUNI)5368",-2.09006307191526,0.0815983211029053,-25.614045039964,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000153896676001721,5368
"scaled_rainfall_deviation:factor(COD_MUNI)5376",-2.08519107760164,0.0798445437452447,-26.1156364579493,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000360887180776229,5376
"scaled_rainfall_deviation:factor(COD_MUNI)5380",-2.05783818695487,0.0827624606546535,-24.8643910618088,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000250797849199573,5380
"scaled_rainfall_deviation:factor(COD_MUNI)5400",-2.06768589773325,0.0789006308113613,-26.2062023645509,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000338308260112021,5400
"scaled_rainfall_deviation:factor(COD_MUNI)5411",-2.08665020370985,0.104530523913888,-19.9621137021071,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134828423034889,5411
"scaled_rainfall_deviation:factor(COD_MUNI)5425",-2.06748534449842,0.0805475327801765,-25.6678916552395,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000387299685682245,5425
"scaled_rainfall_deviation:factor(COD_MUNI)5440",-2.12449714277802,0.0817919417779121,-25.974406483057,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142394993570911,5440
"scaled_rainfall_deviation:factor(COD_MUNI)5467",-2.09518554557343,0.0836575962460567,-25.0447734526222,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000278895201016044,5467
"scaled_rainfall_deviation:factor(COD_MUNI)5475",-2.087002441364,0.0713477901663819,-29.2511153673736,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000813399160501187,5475
"scaled_rainfall_deviation:factor(COD_MUNI)5480",-2.13530564660228,0.0725226536639488,-29.4432916988495,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000291960956206852,5480
"scaled_rainfall_deviation:factor(COD_MUNI)5483",-2.07612571793522,0.075430926418445,-27.5235346629329,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150093891140724,5483
"scaled_rainfall_deviation:factor(COD_MUNI)5490",-2.09699926845832,0.0894713319481212,-23.437666823539,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000228783902070784,5490
"scaled_rainfall_deviation:factor(COD_MUNI)5495",-2.07768778563523,0.0754131342858697,-27.5507417283481,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000710236768908479,5495
"scaled_rainfall_deviation:factor(COD_MUNI)5501",-2.09517457868646,0.104864811811562,-19.9797676884351,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947307488596646,5501
"scaled_rainfall_deviation:factor(COD_MUNI)5541",-2.0620446912487,0.077678532580302,-26.5458759679454,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000438574830273702,5541
"scaled_rainfall_deviation:factor(COD_MUNI)5543",-2.07220286728596,0.0987587239138771,-20.9824791690609,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111994181853077,5543
"scaled_rainfall_deviation:factor(COD_MUNI)5576",-2.08833410917943,0.0797181308611906,-26.1964760916904,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000436404958140654,5576
